region_code,council_code,school_code,school_name,school_type,ownership
04,01,S0203,IRINGA GIRLS' SECONDARY SCHOOL,SECONDARY,GOVERNMENT
04,01,S0325,LUGALO SECONDARY SCHOOL,SECONDARY,GOVERNMENT
04,01,S0445,MWEMBETOGWA SECONDARY SCHOOL,SECONDARY,NON-GOVERNMENT
04,01,S1161,MAWELEWELE SECONDARY SCHOOL,SECONDARY,GOVERNMENT
04,01,S1507,TAGAMENDA SECONDARY SCHOOL,SECONDARY,GOVERNMENT
04,01,S3579,EBENEZER SEMINARY,SECONDARY,NON-GOVERNMENT
04,01,S5865,ST.DOMINIC SAVIO KIGONZILE SECONDARY SCHOOL,SECONDARY,NON-GOVERNMENT
04,01,S5412,WENDYRAYNA SECONDARY SCHOOL,SECONDARY,NON-GOVERNMENT
04,01,P0445,MWEMBETOGWA SECONDARY SCHOOL,SECONDARY,NON-GOVERNMENT
